Iterations,Cycles
0,375592
1,539484
2,745170
3,271314
4,242614
5,382078
6,282280
7,304732
8,266496
9,312238
10,249810
11,259218
12,485706
13,361272
14,293896
15,235294
16,303188
17,332486
18,334640
19,357256
20,315158
21,533824
22,269162
23,420042
24,281362
25,249220
26,385456
27,993414
28,338256
29,613740
30,345098
31,1801322
32,535100
33,467308
34,487666
35,1409470
36,370418
37,456404
38,366724
39,385178
40,384162
41,530930
42,362198
43,336758
44,756894
45,478314
46,346490
47,511590
48,442768
49,329010
50,346614
51,506554
52,264450
53,1239456
54,643892
55,387416
56,370952
57,561876
58,568766
59,950788
60,401318
61,653762
62,433804
63,753282
64,247340
65,858966
66,330652
67,354670
68,405272
69,440400
70,404962
71,368194
72,402794
73,387920
74,599794
75,1464810
76,943044
77,359714
78,356134
79,335016
80,1349738
81,365666
82,660862
83,286660
84,353520
85,407772
86,354668
87,397060
88,401504
89,414084
90,350180
91,336210
92,375794
93,611422
94,333302
95,417872
96,397124
97,1056788
98,387002
99,382954
100,490516
101,1112294
102,722230
103,294132
104,902050
105,674820
106,775398
107,263034
108,338126
109,356918
110,434668
111,364506
112,540274
113,356458
114,682710
115,449172
116,899488
117,370156
118,369434
119,1220624
120,538668
121,348136
122,1467042
123,448174
124,341490
125,579046
126,466034
127,355188
128,412344
129,931108
130,400722
131,751452
132,646334
133,1616770
134,524052
135,556692
136,564124
137,1115624
138,490164
139,583408
140,776724
141,344972
142,615620
143,290420
144,288834
145,603328
146,258792
147,589782
148,494866
149,437514
150,258926
151,656336
152,385206
153,323556
154,813778
155,346916
156,351664
157,379188
158,633438
159,361880
160,418162
161,426096
162,277488
163,771984
164,810038
165,544844
166,356922
167,356592
168,304736
169,327366
170,548060
171,360738
172,1124560
173,398546
174,307180
175,339622
176,349620
177,342850
178,348548
179,549866
180,438678
181,230948
182,232914
183,248046
184,336834
185,234736
186,350814
187,459778
188,380062
189,377278
190,1264648
191,642574
192,234670
193,381002
194,373178
195,344406
196,342664
197,344692
198,405440
199,313704
